орудия,33,0.029683733
подле,33,0.029683733
слово,32,0.028784227
указывая,32,0.028784227
сзади,32,0.028784227
on,32,0.028784227
cher,32,0.028784227
посмотрел,32,0.028784227
командира,32,0.028784227
тотчас,32,0.028784227
думаю,32,0.028784227
право,32,0.028784227
наполеон,32,0.028784227
полковник,32,0.028784227
говорю,32,0.028784227
комнаты,32,0.028784227
билибин,32,0.028784227
тяжело,32,0.028784227
император,31,0.02788472
ипполит,31,0.02788472
молча,31,0.02788472
сиятельство,31,0.02788472
какое,31,0.02788472
государю,31,0.02788472
старик,31,0.02788472
милая,31,0.02788472
стояли,31,0.02788472
одной,31,0.02788472
улыбнулся,31,0.02788472
ко,30,0.026985211
стали,30,0.026985211
понять,30,0.026985211
гостиной,30,0.026985211
виконт,30,0.026985211
всей,30,0.026985211
сюда,30,0.026985211
русские,30,0.026985211
господа,30,0.026985211
видом,30,0.026985211
смотрели,30,0.026985211
dans,30,0.026985211
такое,30,0.026985211
три,29,0.026085705
го,29,0.026085705
говорит,29,0.026085705
андрею,29,0.026085705
сердито,29,0.026085705
сделал,29,0.026085705
желая,29,0.026085705
лучше,29,0.026085705
положение,29,0.026085705
понял,29,0.026085705
оглянулся,29,0.026085705
полка,29,0.026085705
ясно,29,0.026085705
своему,29,0.026085705
наш,29,0.026085705
увидав,28,0.0251862
votre,28,0.0251862
дома,28,0.0251862
шел,28,0.0251862
лошадей,28,0.0251862
каждый,28,0.0251862
сторону,28,0.0251862
молодого,28,0.0251862
свете,28,0.0251862
однако,28,0.0251862
буду,28,0.0251862
невольно,28,0.0251862
долго,28,0.0251862
оно,28,0.0251862
багратиона,28,0.0251862
действительно,27,0.024286691
bien,27,0.024286691
слезы,27,0.024286691
moi,27,0.024286691
ноги,27,0.024286691
стороны,27,0.024286691
таки,27,0.024286691
должно,27,0.024286691
денисова,27,0.024286691
могли,27,0.024286691
минуты,27,0.024286691
армию,27,0.024286691
отчего,27,0.024286691
prince,27,0.024286691
часто,27,0.024286691
точно,27,0.024286691
хотите,27,0.024286691
деле,27,0.024286691
такие,27,0.024286691
пор,27,0.024286691
рад,27,0.024286691
j,26,0.023387183
та,26,0.023387183
батюшка,26,0.023387183
ближе,26,0.023387183
берг,26,0.023387183
кутузову,26,0.023387183
понимаю,26,0.023387183
приехал,26,0.023387183
вечера,26,0.023387183
ночь,26,0.023387183
сколько,26,0.023387183
этому,26,0.023387183
генералу,26,0.023387183
офицеры,26,0.023387183
коли,26,0.023387183
хоть,26,0.023387183
женщины,26,0.023387183
тихо,26,0.023387183
далеко,26,0.023387183
слышал,26,0.023387183
долгоруков,26,0.023387183
адъютанта,25,0.022487678
верно,25,0.022487678
вокруг,25,0.022487678
брат,25,0.022487678
вопросительно,25,0.022487678
дороге,25,0.022487678
дорогу,25,0.022487678
василья,25,0.022487678
дать,25,0.022487678
жерков,25,0.022487678
анатоля,25,0.022487678
оба,25,0.022487678
т,24,0.021588169
стало,24,0.021588169
ai,24,0.021588169
тоном,24,0.021588169
болконского,24,0.021588169
своею,24,0.021588169
заметил,24,0.021588169
какая,24,0.021588169
подъехал,24,0.021588169
наших,24,0.021588169
офицеров,24,0.021588169
ехать,24,0.021588169
близко,24,0.021588169
армия,24,0.021588169
столь,24,0.021588169
сражение,24,0.021588169
василия,24,0.021588169
едва,24,0.021588169
вошел,24,0.021588169
сидели,24,0.021588169
tres,24,0.021588169
никого,24,0.021588169
наши,24,0.021588169
вопрос,24,0.021588169
увидал,23,0.020688662
стол,23,0.020688662
пока,23,0.020688662
дочь,23,0.020688662
тушина,23,0.020688662
именно,23,0.020688662
поспешно,23,0.020688662
спокойно,23,0.020688662
полкового,23,0.020688662
правда,23,0.020688662
времени,23,0.020688662
имел,23,0.020688662
зная,23,0.020688662
напротив,23,0.020688662
которому,23,0.020688662
почувствовал,23,0.020688662
плечами,23,0.020688662
скоро,23,0.020688662
жизнь,23,0.020688662
маленькой,23,0.020688662
иногда,22,0.019789156
мать,22,0.019789156
гостей,22,0.019789156
ah,22,0.019789156
моста,22,0.019789156
повторил,22,0.019789156
строго,22,0.019789156
взгляд,22,0.019789156
встал,22,0.019789156
мгновение,22,0.019789156
люблю,22,0.019789156
ехал,22,0.019789156
месте,22,0.019789156
ногу,22,0.019789156
non,22,0.019789156
знаешь,22,0.019789156
дочери,22,0.019789156
богу,22,0.019789156
слегка,22,0.019789156
разве,22,0.019789156
должна,22,0.019789156
son,22,0.019789156
начал,22,0.019789156
положении,22,0.019789156
дня,22,0.019789156
солдата,22,0.019789156
ожидая,22,0.019789156
деньги,22,0.019789156
постоянно,22,0.019789156
легко,22,0.019789156
pere,22,0.019789156
вышла,22,0.019789156
утра,22,0.019789156
хотелось,21,0.018889649
скорее,21,0.018889649
вероятно,21,0.018889649
россии,21,0.018889649
цепи,21,0.018889649
гостиную,21,0.018889649
людьми,21,0.018889649
павловны,21,0.018889649
генерала,21,0.018889649
спросила,21,0.018889649
сердце,21,0.018889649
неприятель,21,0.018889649
страх,21,0.018889649
стола,21,0.018889649
стоит,21,0.018889649
собою,21,0.018889649
полку,21,0.018889649
пожалуйста,21,0.018889649
взглядом,21,0.018889649
лет,21,0.018889649
сидела,21,0.018889649
говоря,21,0.018889649
кошелек,21,0.018889649
улыбка,21,0.018889649
послышался,21,0.018889649
оглядываясь,21,0.018889649
другое,21,0.018889649
движение,21,0.018889649
улыбнулась,21,0.018889649
вечер,21,0.018889649
y,20,0.017990142
руках,20,0.017990142
поле,20,0.017990142
успел,20,0.017990142
шли,20,0.017990142
руке,20,0.017990142
отвечала,20,0.017990142
мысли,20,0.017990142
места,20,0.017990142
скажу,20,0.017990142
homme,20,0.017990142
другого,20,0.017990142
любовь,20,0.017990142
равно,20,0.017990142
находился,20,0.017990142
глазах,20,0.017990142
гости,20,0.017990142
силы,20,0.017990142
марьи,20,0.017990142
прибавила,20,0.017990142
слов,20,0.017990142
превосходительство,20,0.017990142
вами,20,0.017990142
делал,20,0.017990142
сел,20,0.017990142
самых,19,0.017090634
ete,19,0.017090634
гостья,19,0.017090634
прошел,19,0.017090634
беспрестанно,19,0.017090634
князем,19,0.017090634
отвечая,19,0.017090634
заметив,19,0.017090634
каким,19,0.017090634
боже,19,0.017090634
русских,19,0.017090634
думала,19,0.017090634
звук,19,0.017090634
всеми,19,0.017090634
взглянул,19,0.017090634
две,19,0.017090634
налево,19,0.017090634
деревне,19,0.017090634
колонны,19,0.017090634
pauvre,19,0.017090634
самого,19,0.017090634
хотела,19,0.017090634
платье,19,0.017090634
другим,19,0.017090634
линии,19,0.017090634
крики,19,0.017090634
радостно,19,0.017090634
часу,18,0.016191127
й,18,0.016191127
ка,18,0.016191127
мосту,18,0.016191127
au,18,0.016191127
se,18,0.016191127
видите,18,0.016191127
кабинет,18,0.016191127
послышались,18,0.016191127
эскадрон,18,0.016191127
свидания,18,0.016191127
горы,18,0.016191127
гору,18,0.016191127
вниз,18,0.016191127
хочет,18,0.016191127
графу,18,0.016191127
сыном,18,0.016191127
обратилась,18,0.016191127
середине,18,0.016191127
желал,18,0.016191127
хочу,18,0.016191127
столу,18,0.016191127
раза,18,0.016191127
французски,18,0.016191127
письма,18,0.016191127
часть,18,0.016191127
почему,18,0.016191127
краснея,18,0.016191127
andre,18,0.016191127
мое,18,0.016191127
большой,18,0.016191127
смерти,18,0.016191127
нею,18,0.016191127
внимания,18,0.016191127
рот,18,0.016191127
гусары,18,0.016191127
самый,17,0.01529162
проговорила,17,0.01529162
вера,17,0.01529162
русского,17,0.01529162
доме,17,0.01529162
ними,17,0.01529162
командиру,17,0.01529162
военного,17,0.01529162
немец,17,0.01529162
мысль,17,0.01529162
бывает,17,0.01529162
засмеялся,17,0.01529162
отцу,17,0.01529162
капитан,17,0.01529162
дмитриевна,17,0.01529162
мной,17,0.01529162
ядро,17,0.01529162
безухого,17,0.01529162
знала,17,0.01529162
моего,17,0.01529162
голосов,17,0.01529162
пришел,17,0.01529162
ваш,17,0.01529162
сами,17,0.01529162
позади,17,0.01529162
cette,17,0.01529162
кому,17,0.01529162
женщина,17,0.01529162
отвернулся,17,0.01529162
минут,17,0.01529162
fait,17,0.01529162
княгини,17,0.01529162
главное,17,0.01529162
здоровье,17,0.01529162
деревни,17,0.01529162
петербурге,17,0.01529162
часов,17,0.01529162
шопотом,17,0.01529162
знак,17,0.01529162
головы,17,0.01529162
итти,17,0.01529162
нечего,17,0.01529162
таких,17,0.01529162
трудно,17,0.01529162
мало,16,0.014392113
s,16,0.014392113
остановились,16,0.014392113
главнокомандующий,16,0.014392113
шагов,16,0.014392113
скажите,16,0.014392113
dieu,16,0.014392113
шинели,16,0.014392113
поди,16,0.014392113
величество,16,0.014392113
толпы,16,0.014392113
впечатление,16,0.014392113
перебил,16,0.014392113
сыну,16,0.014392113
тихон,16,0.014392113
смеясь,16,0.014392113
слышались,16,0.014392113
навстречу,16,0.014392113
ротмистр,16,0.014392113
идет,16,0.014392113
продолжала,16,0.014392113
просить,16,0.014392113
остановил,16,0.014392113
кверху,16,0.014392113
всему,16,0.014392113
неожиданно,16,0.014392113
нехорошо,16,0.014392113
чувствуя,16,0.014392113
надеюсь,16,0.014392113
остановилась,16,0.014392113
лицами,16,0.014392113
jeune,16,0.014392113
голова,16,0.014392113
левой,16,0.014392113
обеда,16,0.014392113
другом,16,0.014392113
движения,16,0.014392113
одну,16,0.014392113
багратиону,16,0.014392113
одним,16,0.014392113
торопливо,16,0.014392113
туда,15,0.013492606
